Strong Text    Ftarget:0.15 f=0.55 d:0.82
90 Fi=0.458999 Di=0.950163 Ti=-1 Pi=0.675202
91 Fi=0.453746 Di=0.948456 Ti=-1 Pi=0.677328
92 Fi=0.453163 Di=0.947875 Ti=-1 Pi=0.677475
93 Fi=0.451193 Di=0.946495 Ti=-1 Pi=0.678109
94 Fi=0.448421 Di=0.947984 Ti=-1 Pi=0.679795
95 Fi=0.436784 Di=0.945405 Ti=-1 Pi=0.684903
96 Fi=0.437258 Di=0.946822 Ti=-1 Pi=0.684992
97 Fi=0.435945 Di=0.945696 Ti=-1 Pi=0.685384
98 Fi=0.432626 Di=0.94624 Ti=-1 Pi=0.687154
99 Fi=0.431531 Di=0.947367 Ti=-1 Pi=0.687953
100 Fi=0.429598 Di=0.946894 Ti=-1 Pi=0.68881
101 Fi=0.427482 Di=0.947367 Ti=-1 Pi=0.689974
102 Fi=0.426351 Di=0.946495 Ti=-1 Pi=0.690343
103 Fi=0.422594 Di=0.94377 Ti=-1 Pi=0.691618
104 Fi=0.418728 Di=0.94595 Ti=-1 Pi=0.694065
105 Fi=0.416174 Di=0.94555 Ti=-1 Pi=0.695272
106 Fi=0.414861 Di=0.944606 Ti=-1 Pi=0.69573
107 Fi=0.41052 Di=0.945841 Ti=-1 Pi=0.698228
108 Fi=0.410228 Di=0.945223 Ti=-1 Pi=0.69824
109 Fi=0.409645 Di=0.944751 Ti=-1 Pi=0.698434
110 Fi=0.410593 Di=0.94486 Ti=-1 Pi=0.697971
111 Fi=0.408696 Di=0.945296 Ti=-1 Pi=0.699044
112 Fi=0.406982 Di=0.944461 Ti=-1 Pi=0.699742
113 Fi=0.408222 Di=0.946277 Ti=-1 Pi=0.699506
114 Fi=0.406471 Di=0.946386 Ti=-1 Pi=0.700433
115 Fi=0.404282 Di=0.942971 Ti=-1 Pi=0.700807
116 Fi=0.400598 Di=0.944788 Ti=-1 Pi=0.703125
117 Fi=0.399796 Di=0.944533 Ti=-1 Pi=0.703487
118 Fi=0.397571 Di=0.9417 Ti=-1 Pi=0.704025
119 Fi=0.397607 Di=0.943044 Ti=-1 Pi=0.704303
120 Fi=0.397716 Di=0.943916 Ti=-1 Pi=0.704438
121 Fi=0.395127 Di=0.943988 Ti=-1 Pi=0.705812
122 Fi=0.394288 Di=0.944388 Ti=-1 Pi=0.706341
123 Fi=0.39447 Di=0.945478 Ti=-1 Pi=0.706484
124 Fi=0.392318 Di=0.943988 Ti=-1 Pi=0.707291
125 Fi=0.39188 Di=0.943589 Ti=-1 Pi=0.707435
126 Fi=0.390129 Di=0.943262 Ti=-1 Pi=0.708289
127 Fi=0.387795 Di=0.942317 Ti=-1 Pi=0.709321
128 Fi=0.392537 Di=0.94417 Ti=-1 Pi=0.707216
129 Fi=0.387868 Di=0.943807 Ti=-1 Pi=0.709608
130 Fi=0.38805 Di=0.944352 Ti=-1 Pi=0.70963
131 Fi=0.390713 Di=0.945005 Ti=-1 Pi=0.708362
132 Fi=0.389691 Di=0.943879 Ti=-1 Pi=0.708656
133 Fi=0.388378 Di=0.943371 Ti=-1 Pi=0.709241
134 Fi=0.387211 Di=0.943371 Ti=-1 Pi=0.709862
135 Fi=0.384256 Di=0.944715 Ti=-1 Pi=0.711729
136 Fi=0.38152 Di=0.94377 Ti=-1 Pi=0.712988
137 Fi=0.380681 Di=0.944315 Ti=-1 Pi=0.713556
138 Fi=0.382834 Di=0.943407 Ti=-1 Pi=0.712206
139 Fi=0.381302 Di=0.94308 Ti=-1 Pi=0.712956
140 Fi=0.38039 Di=0.943879 Ti=-1 Pi=0.713619
141 Fi=0.37893 Di=0.943008 Ti=-1 Pi=0.714215
142 Fi=0.378091 Di=0.943988 Ti=-1 Pi=0.714879
143 Fi=0.376377 Di=0.944061 Ti=-1 Pi=0.71582
144 Fi=0.376523 Di=0.942644 Ti=-1 Pi=0.715436
145 Fi=0.375502 Di=0.944061 Ti=-1 Pi=0.716294
146 Fi=0.374954 Di=0.943589 Ti=-1 Pi=0.716488
147 Fi=0.37718 Di=0.943916 Ti=-1 Pi=0.715355
148 Fi=0.37583 Di=0.944606 Ti=-1 Pi=0.716233
149 Fi=0.374261 Di=0.945587 Ti=-1 Pi=0.717293
150 Fi=0.373313 Di=0.943371 Ti=-1 Pi=0.717332
151 Fi=0.373824 Di=0.944497 Ti=-1 Pi=0.717297
152 Fi=0.372802 Di=0.944134 Ti=-1 Pi=0.717773
153 Fi=0.372292 Di=0.944642 Ti=-1 Pi=0.71816
154 Fi=0.372292 Di=0.943661 Ti=-1 Pi=0.717949
155 Fi=0.371963 Di=0.942572 Ti=-1 Pi=0.717894
156 Fi=0.370978 Di=0.943879 Ti=-1 Pi=0.718711
157 Fi=0.369264 Di=0.943916 Ti=-1 Pi=0.719654
158 Fi=0.369081 Di=0.94348 Ti=-1 Pi=0.719661
159 Fi=0.367732 Di=0.943589 Ti=-1 Pi=0.720423
160 Fi=0.365981 Di=0.943153 Ti=-1 Pi=0.72129
161 Fi=0.369118 Di=0.944025 Ti=-1 Pi=0.719757
162 Fi=0.368024 Di=0.944533 Ti=-1 Pi=0.720464
163 Fi=0.366747 Di=0.944424 Ti=-1 Pi=0.721141
164 Fi=0.367294 Di=0.944788 Ti=-1 Pi=0.720918
165 Fi=0.369337 Di=0.945005 Ti=-1 Pi=0.719847
166 Fi=0.369118 Di=0.944969 Ti=-1 Pi=0.719959
167 Fi=0.366674 Di=0.945805 Ti=-1 Pi=0.721474
